ticker,ym,tercil_hhi,deg_avg_sub,eigen_cent_sub,n_tickers_subgrupo
ALPA3,201701,3,0.0879293333039311,0.760494215460118,73
BBAS3,201701,3,0.0010225057171598,0.00545150489508674,73
BRIN3,201701,3,0.0492880984104624,0.0875956670184828,73
BRIV3,201701,3,0.0976854918400629,0.503518638816029,73
BRKM3,201701,3,0.0471323407120572,0.0850820956632721,73
CAMB4,201701,3,0.0964629324886628,0.972843201976148,73
CCXC3,201701,3,0.0745132712897653,0.0787694350953245,73
CESP3,201701,3,0.0864950256891765,0.494267873103335,73
CGRA4,201701,3,0.0596505706170405,0.0890056257111126,73
COCE5,201701,3,0.000980754783106545,0.00848937028359713,73
CPFE3,201701,3,0.0025441992735616,0.00337560392616778,73
CPLE3,201701,3,0.0344024572832657,0.0172239949384438,73
CPRE3,201701,3,0.0475323267359824,0.0845440338912884,73
ENEV3,201701,3,0.00346342477548369,0.00948809423739131,73
ENGI4,201701,3,0.0879328843223959,0.760517756965725,73
ENMT3,201701,3,0.0880163838042929,0.761629784243589,73
ENMT4,201701,3,0.0880452010821534,0.761446418117305,73
EUCA4,201701,3,0.0318616596809999,0.0142779155007416,73
FESA4,201701,3,0.0683507223521959,0.19539643728724,73
GOAU3,201701,3,0.000959768925380292,0.00267134675451445,73
GPCP3,201701,3,0.0731346829417731,0.382727026235554,73
GRND3,201701,3,0.0598072827504626,0.34390061247292,73
GSHP3,201701,3,0.0338638364070588,0.007938489368028,73
GUAR4,201701,3,0.0947093756884694,0.546649523495358,73
HBOR3,201701,3,0.086510834038927,0.836366678399161,73
IGBR3,201701,3,0.0268890643413772,0.0254882777254319,73
INEP3,201701,3,0.0374748050144657,0.011164229718606,73
INEP4,201701,3,0.0338748292360764,0.00794832670716224,73
ITSA3,201701,3,0.0821187222729565,0.28626698965512,73
JHSF3,201701,3,0.0116084731964313,0.0381776124964638,73
KLBN3,201701,3,0.0167605450223721,0.00461676349179813,73
KLBN4,201701,3,0.0244183553497123,0.0115143893617038,73
LLIS3,201701,3,0.0745132712897653,0.0787694350953246,73
LPSB3,201701,3,0.000273753427994202,0.0012265831745133,73
LUPA3,201701,3,0.0660900399314352,0.086319881761553,73
MGEL4,201701,3,0.0757040907126183,0.0792621705574825,73
MILS3,201701,3,0.0391050675338323,0.00741045295630561,73
MMXM3,201701,3,0.0270113843575067,0.0255973324024539,73
OGXP3,201701,3,0.00713325244088455,0.00746701131914453,73
OIBR3,201701,3,0.131068515219244,0.949485075973896,73
OIBR4,201701,3,0.0990255591630162,1,73
OSXB3,201701,3,0.0745132712897653,0.0787694350953246,73
PARC3,201701,3,0.0904763773514913,0.757218120904302,73
PDGR3,201701,3,0.0012927147821483,0.00598176618398867,73
PINE4,201701,3,0.0220873787204357,0.0179193973344358,73
PMAM3,201701,3,0.0815526074247242,0.414066336154438,73
PNVL3,201701,3,0.0880390070962546,0.896433123974484,73
POMO3,201701,3,0.00430100405044969,0.00458935041135656,73
POSI3,201701,3,0.000221026870727435,0.000228043905305864,73
PRIO3,201701,3,0.0975467308054118,0.973735044931886,73
PRML3,201701,3,0.0293404879848429,0.0249583797845143,73
PTBL3,201701,3,0.0384940319633827,0.00386624204768742,73
RDNI3,201701,3,0.0548269317941313,0.011251238945656,73
REDE3,201701,3,0.087945061323119,0.760596260547941,73
REDE4,201701,3,0.0879525951144221,0.760634486139612,73
RPMG3,201701,3,0.00162909898679881,0.00460767061224978,73
RSID3,201701,3,0.0891218485882697,0.497513245165581,73
SEDU3,201701,3,0.0294746691194207,0.291271360046639,73
SEER3,201701,3,0.0396188146059289,0.00625412871313783,73
SGPS3,201701,3,0.0973717094314555,0.907807005702222,73
SHOW3,201701,3,0.0394258986465524,0.056152939475569,73
SLCE3,201701,3,0.0404863795661061,0.05436892358474,73
SLED4,201701,3,0.0169821906072188,0.0799362276226211,73
SNSL3,201701,3,0.0956565488201008,0.969504351882279,73
SSBR3,201701,3,0.0721979389850715,0.0924786341635266,73
TESA3,201701,3,0.00573668213576858,0.0309235745637736,73
TIET3,201701,3,0.00609487870261047,0.00110869297493251,73
TIET4,201701,3,0.00801696547156065,0.00284300614371891,73
TPIS3,201701,3,0.0281948108684345,0.0447760649071233,73
TRIS3,201701,3,0.0405728574636042,0.0209446682385968,73
UNIP3,201701,3,0.0757040907126183,0.0792621705574826,73
UNIP6,201701,3,0.0614553149866214,0.111496617691663,73
USIM3,201701,3,0.0991579110300215,0.963162525227538,73
ALPA3,201702,3,0.0864694806585989,0.796641641285277,73
BBAS3,201702,3,0.00100799278975583,0.00542297375781906,73
BPAC11,201702,3,0.000967931036851863,3.54181044828932e-05,73
BPHA3,201702,3,0.000110908431375027,1.49112807712503e-06,73
BRIN3,201702,3,0.0524607950572673,0.128151624824864,73
BRIV3,201702,3,0.101530878054884,0.721770335891575,73
BRKM3,201702,3,0.0481109198291183,0.115037005879168,73
CAMB4,201702,3,0.0909448513538558,0.870562493206836,73
CCXC3,201702,3,0.0847977709722046,0.243553615813542,73
CESP3,201702,3,0.0887539307665263,0.690698692702251,73
CGAS3,201702,3,0.0855260995934287,0.750437116404105,73
CGRA4,201702,3,0.0559295890046986,0.0778076480549817,73
COCE5,201702,3,0.000990151341423419,0.00682231050646806,73
CPFE3,201702,3,0.00255997836955464,0.00739552020714495,73
CPRE3,201702,3,0.0545117756219713,0.115399461038511,73
ENEV3,201702,3,0.0039752024731132,0.0127616435716112,73
ENGI3,201702,3,2.09885422701356e-05,1.02889000666884e-06,73
ENGI4,201702,3,0.0864775161425498,0.796701877148074,73
ENMT3,201702,3,0.086451372347224,0.796454908668539,73
ENMT4,201702,3,0.086546966917401,0.797182382227612,73
EUCA4,201702,3,0.018663341030805,0.0171330611631633,73
FESA4,201702,3,0.0561001855922861,0.101954985485565,73
GOAU3,201702,3,0.0014096156145985,0.00902242308924176,73
GPCP3,201702,3,0.077819373475903,0.528514265699623,73
