ticker,ym,deg_raw,deg_avg,eigen_cent,n_tickers_mes,deg_avg_delta,eigen_cent_delta
AALR3,201701,23.4628114975803,0.088874285975683,0.451505417809254,265,,
AALR3,201702,24.4241011089909,0.0897944893712901,0.476868112540609,273,0.000920203395607111,0.0253626947313552
AALR3,201703,19.4040726286561,0.0708177833162632,0.36115410838155,275,-0.018976706055027,-0.11571400415906
AALR3,201704,20.1605818579888,0.0738482851940983,0.341390241446759,274,0.0030305018778351,-0.0197638669347909
AALR3,201705,20.9050497811656,0.0768568006660499,0.397112570257731,273,0.00300851547195158,0.0557223288109725
AALR3,201706,19.362736996733,0.0711865330762242,0.358604388138614,273,-0.00567026758982565,-0.0385081821191175
AALR3,201707,23.2700318552035,0.0861853031674202,0.407517093664223,271,0.014998770091196,0.0489127055256088
AALR3,201708,24.356953233332,0.0895476221813675,0.46746550654869,273,0.00336231901394722,0.0599484128844678
AALR3,201709,23.601706535338,0.0831046004765422,0.371904956222982,285,-0.00644302170482523,-0.0955605503257083
AALR3,201710,23.6520386219495,0.0856957921085125,0.410583742559747,277,0.0025911916319703,0.038678786336765
AALR3,201711,25.0081356162214,0.0893147700579336,0.460203395123981,281,0.00361897794942105,0.0496196525642337
AALR3,201712,21.9915255257844,0.0793917889017488,0.517831722703844,278,-0.00992298115618481,0.0576283275798631
AALR3,201801,20.92823175621,0.0739513489618729,0.383234392532405,284,-0.00544043993987588,-0.134597330171439
AALR3,201802,18.7738616173231,0.0656428727878429,0.409511677746563,287,-0.00830847617403001,0.0262772852141582
AALR3,201803,21.2500338427762,0.0743008176320845,0.426672634756002,287,0.00865794484424161,0.0171609570094388
AALR3,201804,22.6222236813658,0.0782775905929614,0.415488158197313,290,0.00397677296087691,-0.0111844765586894
AALR3,201805,21.509797918308,0.0757387250644647,0.35513984076144,285,-0.00253886552849671,-0.0603483174358731
AALR3,201806,21.7015202780614,0.0775054295645049,0.37015403547647,281,0.0017667045000402,0.0150141947150307
AALR3,201807,25.1931215926169,0.0909498974462705,0.45536073807368,278,0.0134444678817656,0.0852067025972097
AALR3,201808,25.6712782376689,0.0910329015520173,0.511743830239537,283,8.30041057468256e-05,0.0563830921658571
AALR3,201809,26.9613775443109,0.0966357618075659,0.479589552473721,280,0.00560286025554864,-0.0321542777658164
AALR3,201810,28.8506538904885,0.104153985164218,0.554869331458732,278,0.00751822335665249,0.0752797789850108
AALR3,201811,26.2241883196716,0.0946721599988143,0.487347197583316,278,-0.00948182516540409,-0.0675221338754156
AALR3,201812,26.0591135949368,0.093737818686823,0.501435861877173,279,-0.000934341311991327,0.0140886642938574
AALR3,201901,31.7537015972702,0.114634301795199,0.679928293017248,278,0.0208964831083761,0.178492431140075
AALR3,201902,28.9662191835727,0.105331706122083,0.521304655586419,276,-0.00930259567311657,-0.158623637430829
AALR3,201903,28.5758477258044,0.103535680165958,0.532234912205229,277,-0.00179602595612445,0.0109302566188109
AALR3,201904,27.6904391526785,0.0988944255452803,0.471499274389144,281,-0.00464125462067777,-0.0607356378160854
AALR3,201905,26.2588992278524,0.0941179183793991,0.432980566636569,280,-0.0047765071658812,-0.0385187077525754
AALR3,201906,26.9081173400912,0.100403422910788,0.50946812053715,269,0.00628550453138897,0.0764875539005811
AALR3,201907,30.032045163244,0.110007491440454,0.573238415554063,274,0.00960406852966607,0.063770295016913
AALR3,201908,27.5860924457961,0.102550529538275,0.554478243014179,270,-0.00745696190217866,-0.0187601725398834
AALR3,201909,29.7618739349728,0.113163018764155,0.550526871788969,264,0.0106124892258795,-0.00395137122521061
AALR3,201910,30.0210833874888,0.114148606036079,0.51935565716138,264,0.000985587271923966,-0.0311712146275885
AALR3,201911,30.8315816474957,0.116345591122625,0.725990369937589,266,0.00219698508654612,0.206634712776209
AALR3,201912,25.4757336514936,0.0933177056831269,0.562580149199175,274,-0.0230278854394982,-0.163410220738414
AALR3,202001,23.8695484172418,0.0880795144547669,0.536618433024996,272,-0.00523819122835996,-0.0259617161741785
AALR3,202002,22.3327450199267,0.080045681075006,0.466805142973903,280,-0.00803383337976091,-0.0698132900510928
AALR3,202003,22.214338351751,0.0799076919127734,0.498491602641807,279,-0.00013798916223258,0.0316864596679036
AALR3,202004,23.1288009760863,0.084720882696287,0.499188504827418,274,0.00481319078351356,0.000696902185610804
AALR3,202005,22.3634770120679,0.0822186654855436,0.473942502028445,273,-0.0025022172107434,-0.0252460027989731
AALR3,202006,15.7974712068674,0.0570305819742504,0.332803701473637,278,-0.0251880835112932,-0.141138800554808
AALR3,202007,18.7869564645869,0.0678229475255844,0.358578756788261,278,0.0107923655513341,0.0257750553146242
AALR3,202008,17.2169886567404,0.0626072314790559,0.328146892683608,276,-0.0052157160465285,-0.0304318641046527
AALR3,202009,16.0545429813511,0.0555520518385853,0.289874924057809,290,-0.00705517964047069,-0.0382719686257995
AALR3,202010,14.5719304621833,0.0504219047134369,0.268457809780834,290,-0.00513014712514835,-0.0214171142769746
AALR3,202011,13.2420418553583,0.0458202140323817,0.227950099394171,290,-0.00460169068105517,-0.0405077103866632
AALR3,202012,10.2865008129365,0.0355934284184652,0.182246463079836,290,-0.0102267856139165,-0.0457036363143354
AALR3,202101,8.85153418349384,0.0294070903106108,0.159076925237111,302,-0.00618633810785446,-0.0231695378427243
AALR3,202102,7.49951117590571,0.0231466394318077,0.133489178182533,325,-0.00626045087880303,-0.0255877470545784
AALR3,202103,11.8023892446105,0.0363150438295707,0.202694752984839,326,0.013168404397763,0.0692055748023059
AALR3,202104,17.1064990915549,0.0510641763927012,0.252213304300428,336,0.0147491325631305,0.0495185513155895
AALR3,202105,32.1576951189711,0.0937542131748427,0.513951222008794,344,0.0426900367821415,0.261737917708366
