ticker,ym,hhi_posse,n_fundos,hhi_prev1,hhi_prev3,hhi_prev6,delta_hhi_1m,delta_hhi_3m,delta_hhi_6m,delta_hhi_3m_pct,delta_hhi_6m_pct
AALR3,201707,0.0521326044432735,407,0.0487341389970288,0.0542126907791177,0.0341857091344782,0.00339846544624466,-0.00208008633584425,0.0179468953087953,-0.0383689926832682,0.524982390688363
AALR3,201708,0.051975854118672,408,0.0521326044432735,0.052140665056371,0.0371266208411666,-0.000156750324601468,-0.000164810937698955,0.0148492332775054,-0.00316089059318235,0.399961885597741
AALR3,201709,0.0743975025777277,421,0.051975854118672,0.0487341389970288,0.0511684778939361,0.0224216484590557,0.0256633635806989,0.0232290246837916,0.526599302026522,0.453971383161751
AALR3,201710,0.0647068605139475,447,0.0743975025777277,0.0521326044432735,0.0542126907791177,-0.00969064206378019,0.012574256070674,0.0104941697348298,0.241197542400866,0.193574042977997
AALR3,201711,0.068194078186262,469,0.0647068605139475,0.051975854118672,0.052140665056371,0.00348721767231446,0.01621822406759,0.016053413129891,0.312033815366656,0.307886620021727
AALR3,201712,0.048447963385641,434,0.068194078186262,0.0743975025777277,0.0487341389970288,-0.019746114800621,-0.0259495391920868,-0.000286175611387857,-0.348795837131437,-0.00587217948808542
AALR3,201801,0.0782314840589665,499,0.048447963385641,0.0647068605139475,0.0521326044432735,0.0297835206733255,0.013524623545019,0.026098879615693,0.209013749664207,0.50062489481207
AALR3,201802,0.117164964378317,467,0.0782314840589665,0.068194078186262,0.051975854118672,0.0389334803193508,0.0489708861920553,0.0651891102596452,0.718110538253755,1.25421912472673
AALR3,201803,0.0888513582775742,503,0.117164964378317,0.048447963385641,0.0743975025777277,-0.0283136061007431,0.0404033948919332,0.0144538556998464,0.833954454810127,0.194278775483701
AALR3,201804,0.0826976648202803,493,0.0888513582775742,0.0782314840589665,0.0647068605139475,-0.00615369345729387,0.00446618076131379,0.0179908043063328,0.0570893012581409,0.278035499844021
AALR3,201805,0.0808838192958308,506,0.0826976648202803,0.117164964378317,0.068194078186262,-0.00181384552444946,-0.0362811450824864,0.0126897411095688,-0.309658653292781,0.186082742769962
